customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_charge_ratio
6467-CHFZW,47,1,0,0,99.35,4749.15,1,0.47307498741821846
8665-UTDHZ,1,0,0,0,30.2,30.2,1,0.033112582781456956
5248-YGIJN,72,1,2,3,90.25,6369.45,0,0.7977839335180056
8773-HHUOZ,17,1,0,1,64.7,1093.1,1,0.26275115919629055
3841-NFECX,71,1,2,3,96.35,6766.95,0,0.7368967306694344
4929-XIHVW,2,1,0,3,95.5,181.65,0,0.020942408376963352
6827-IEAUQ,27,1,1,1,66.15,1874.45,0,0.4081632653061224
7310-EGVHZ,1,1,0,2,20.2,20.2,0,0.04950495049504951
3413-BMNZE,1,1,0,2,45.25,45.25,0,0.022099447513812154
6234-RAAPL,72,1,2,2,99.9,7251.7,0,0.7207207207207207
6047-YHPVI,5,1,0,0,69.7,316.9,1,0.07173601147776183
6572-ADKRS,46,1,0,3,74.8,3548.3,0,0.6149732620320856
5380-WJKOV,34,1,0,0,106.35,3549.25,1,0.31969910672308416
8168-UQWWF,11,1,0,2,97.85,1105.4,1,0.11241696474195198
8865-TNMNX,10,1,1,1,49.55,475.7,0,0.20181634712411706
9489-DEDVP,70,1,2,3,69.2,4872.35,0,1.0115606936416184
9867-JCZSP,17,1,1,1,20.75,418.25,0,0.8192771084337349
4671-VJLCL,63,1,2,3,79.85,4861.45,0,0.7889793362554791
4080-IIARD,13,1,0,0,76.2,981.45,0,0.1706036745406824
3714-NTNFO,49,1,0,0,84.5,3906.7,0,0.5798816568047337
5948-UJZLF,2,1,0,1,49.25,97.0,0,0.04060913705583756
7760-OYPDY,2,1,0,0,80.65,144.15,1,0.02479851208927464
7639-LIAYI,52,1,2,3,79.75,4217.8,0,0.6520376175548589
2954-PIBKO,69,1,2,3,64.15,4254.1,0,1.0756040530007793
8012-SOUDQ,43,1,0,0,90.25,3838.75,0,0.47645429362880887
9420-LOJKX,15,1,0,3,99.1,1426.4,1,0.1513622603430878
6575-SUVOI,25,1,0,3,69.5,1752.65,0,0.3597122302158273
7495-OOKFY,8,1,0,3,80.65,633.3,1,0.09919404835709857
4667-QONEA,60,1,1,3,74.85,4456.35,0,0.8016032064128257
1658-BYGOY,18,1,0,0,95.45,1752.55,1,0.18858040859088526
8769-KKTPH,63,1,1,3,99.65,6311.2,0,0.6322127446061214
5067-XJQFU,66,1,1,0,108.45,7076.35,0,0.6085753803596127
3957-SQXML,34,1,2,3,24.95,894.3,0,1.3627254509018036
5954-BDFSG,72,1,2,3,107.5,7853.7,0,0.6697674418604651
0434-CSFON,47,1,0,0,100.5,4707.1,0,0.46766169154228854
1215-FIGMP,60,1,0,2,89.9,5450.7,0,0.6674082313681868
0526-SXDJP,72,0,2,2,42.1,2962.0,0,1.7102137767220902
0557-ASKVU,18,1,1,3,54.4,957.1,0,0.33088235294117646
5698-BQJOH,9,1,0,0,94.4,857.25,1,0.09533898305084745
5122-CYFXA,3,1,0,0,75.3,244.1,0,0.0398406374501992
8627-ZYGSZ,47,1,1,0,78.9,3650.35,0,0.5956907477820025
3410-YOQBQ,31,1,2,1,79.2,2497.2,0,0.3914141414141414
3170-NMYVV,50,1,2,2,20.15,930.9,0,2.481389578163772
7410-OIEDU,10,1,0,1,79.85,887.35,0,0.12523481527864747
2273-QCKXA,1,1,0,1,49.05,49.05,0,0.020387359836901122
0731-EBJQB,52,1,1,0,20.4,1090.65,0,2.5490196078431375
1891-QRQSA,64,1,2,2,111.6,7099.0,0,0.5734767025089607
8028-PNXHQ,62,1,2,2,24.25,1424.6,0,2.556701030927835
5630-AHZIL,3,1,0,2,64.5,177.4,0,0.046511627906976744
2673-CXQEU,56,1,1,0,110.5,6139.5,0,0.5067873303167421
6416-JNVRK,46,1,1,3,55.65,2688.85,0,0.8265947888589398
5590-ZSKRV,8,1,0,1,54.65,482.25,0,0.1463860933211345
0191-ZHSKZ,30,1,0,0,74.75,2111.3,0,0.4013377926421405
3887-PBQAO,45,1,1,3,25.9,1216.6,0,1.7374517374517375
5919-TMRGD,1,1,0,0,79.35,79.35,1,0.012602394454946441
8108-UXRQN,11,0,0,0,50.55,565.35,0,0.2176063303659743
9191-MYQKX,7,1,0,2,75.15,496.9,1,0.09314703925482368
9919-YLNNG,42,1,0,2,103.8,4327.5,0,0.4046242774566474
0318-ZOPWS,49,1,2,2,20.15,973.35,0,2.4317617866004966
4445-ZJNMU,9,1,0,3,99.3,918.75,0,0.0906344410876133
4808-YNLEU,35,1,1,2,62.15,2215.45,0,0.5631536604987932
1862-QRWPE,48,1,2,2,20.65,1057.0,0,2.3244552058111383
2796-NNUFI,46,1,2,1,19.95,927.1,0,2.305764411027569
3016-KSVCP,29,0,0,1,33.75,1009.25,0,0.8592592592592593
4767-HZZHQ,30,1,0,2,82.05,2570.2,0,0.3656307129798903
2424-WVHPL,1,1,0,0,74.7,74.7,0,0.013386880856760375
7233-PAHHL,66,1,2,1,84.0,5714.25,0,0.7857142857142857
6067-NGCEU,65,1,0,3,111.05,7107.0,0,0.585321927059883
9848-JQJTX,72,1,2,2,100.9,7459.05,0,0.7135777998017839
8637-XJIVR,12,1,0,0,78.95,927.35,1,0.1519949335022166
9803-FTJCG,71,1,1,3,66.85,4748.7,0,1.0620792819745701
0278-YXOOG,5,1,0,1,21.05,113.85,1,0.2375296912114014
3212-KXOCR,52,1,2,2,21.0,1107.2,0,2.4761904761904763
4598-XLKNJ,25,1,0,0,98.5,2514.5,1,0.25380710659898476
6380-ARCEH,1,1,0,1,20.2,20.2,0,0.04950495049504951
3679-XASPY,1,1,0,0,19.45,19.45,0,0.05141388174807198
7123-WQUHX,38,1,1,2,95.0,3605.6,0,0.4
5386-THSLQ,66,0,1,2,45.55,3027.25,0,1.4489571899012075
3192-NQECA,68,1,2,2,110.0,7611.85,1,0.6181818181818182
6180-YBIQI,5,0,0,1,24.3,100.2,0,0.205761316872428
6728-DKUCO,72,1,1,0,104.15,7303.05,0,0.6913106096975515
9750-BOOHV,32,0,1,1,30.15,927.65,0,1.0613598673300166
8597-CWYHH,43,1,1,1,94.35,3921.3,0,0.4557498675145734
2848-YXSMW,72,1,2,3,19.4,1363.25,0,3.711340206185567
0486-HECZI,55,1,0,0,96.75,5238.9,1,0.5684754521963824
4549-ZDQYY,52,1,1,3,57.95,3042.25,0,0.89732528041415
5712-AHQNN,43,1,0,0,91.65,3954.1,0,0.46917621385706487
4846-WHAFZ,37,1,0,0,76.5,2868.15,1,0.48366013071895425
5256-SKJGO,64,0,2,0,54.6,3423.5,0,1.1721611721611722
3071-VBYPO,3,1,0,0,89.85,248.4,0,0.033388981636060105
9560-BBZXK,36,0,2,2,31.05,1126.35,0,1.1594202898550725
5299-RULOA,10,1,0,0,100.25,1064.65,1,0.09975062344139651
8402-OOOHJ,41,1,2,1,20.65,835.15,0,1.9854721549636805
9445-ZUEQE,27,1,0,3,85.2,2151.6,0,0.3169014084507042
1091-SOZGA,56,1,1,3,99.8,5515.45,0,0.561122244488978
2928-HLDBA,6,1,0,1,20.7,112.75,0,0.2898550724637681
0404-SWRVG,3,1,0,0,74.4,229.55,1,0.04032258064516129
6497-TILVL,7,1,0,1,50.7,350.35,0,0.1380670611439842
7219-TLZHO,4,1,0,1,20.85,62.9,0,0.19184652278177458
4622-YNKIJ,33,1,2,0,88.95,3027.65,0,0.37099494097807756
4412-YLTKF,27,1,0,0,78.05,2135.5,1,0.3459320948110186
6734-PSBAW,72,1,2,2,23.55,1723.95,0,3.057324840764331
3930-ZGWVE,1,1,0,1,19.75,19.75,0,0.05063291139240506
2639-UGMAZ,71,0,1,0,56.45,3985.35,0,1.2577502214348981
2876-GZYZC,13,1,0,0,85.95,1215.65,0,0.15125072716695753
6207-WIOLX,25,0,0,3,58.6,1502.65,1,0.4266211604095563
8587-XYZSF,67,1,2,2,50.55,3260.1,0,1.32542037586548
3091-FYHKI,1,0,0,0,35.45,35.45,1,0.028208744710860365
2372-HWUHI,2,1,0,0,44.35,81.25,1,0.04509582863585118
7799-LGRDP,43,1,2,3,25.7,1188.2,0,1.6731517509727627
7850-VWJUU,23,1,0,2,75.0,1778.5,0,0.30666666666666664
3774-VBNXY,64,1,2,1,20.2,1277.75,0,3.1683168316831685
6217-KDYWC,57,1,2,1,19.6,1170.55,0,2.9081632653061225
0390-DCFDQ,1,1,0,1,70.45,70.45,1,0.014194464158977998
3146-MSEGF,72,1,2,3,88.05,6425.65,0,0.8177172061328791
4080-OGPJL,8,1,0,0,71.15,563.65,1,0.11243851018973998
1095-WGNGG,61,1,2,2,101.05,5971.25,0,0.6036615536862939
2636-SJDOU,64,1,1,3,84.3,5289.05,0,0.7591933570581257
1131-QQZEB,71,1,2,2,23.95,1756.2,0,2.9645093945720253
5716-EZXZN,65,1,2,3,99.05,6416.7,0,0.6562342251388188
6837-BJYDQ,3,1,1,1,19.6,61.35,0,0.1530612244897959
2135-RXIHG,1,1,0,0,45.65,45.65,1,0.02190580503833516
6440-DKQGE,30,1,1,3,64.5,1929.95,0,0.46511627906976744
3466-BYAVD,15,1,0,1,69.5,1071.4,0,0.2158273381294964
3780-YVMFA,8,1,0,0,68.55,564.35,0,0.11670313639679067
3874-EQOEP,7,1,0,1,95.0,655.5,1,0.07368421052631578
1679-JRFBR,70,1,1,3,108.15,7930.55,0,0.6472491909385113
9073-ZZIAY,62,1,2,0,86.1,5215.25,0,0.7200929152148665
3077-RSNTJ,6,1,0,1,19.7,113.5,0,0.30456852791878175
6551-GNYDG,14,1,0,2,80.9,1152.8,0,0.17305315203955499
9167-APMXZ,22,1,0,2,84.15,1821.95,0,0.261437908496732
2749-CTKAJ,22,1,1,1,20.15,419.9,0,1.0918114143920596
6371-NZYEG,16,1,2,1,64.25,1024.0,0,0.2490272373540856
7554-NEWDD,10,1,2,2,25.7,251.6,0,0.38910505836575876
8992-VONJD,13,1,0,0,56.0,764.55,0,0.23214285714285715
0867-MKZVY,20,1,0,0,82.4,1592.35,1,0.24271844660194172
4482-EWFMI,2,1,0,0,69.7,135.2,0,0.028694404591104734
4648-YPBTM,53,1,2,2,73.9,3958.25,0,0.7171853856562922
2907-ILJBN,11,1,1,1,20.6,233.9,0,0.5339805825242718
6345-FZOQH,69,1,2,1,19.9,1363.45,0,3.4673366834170856
3376-BMGFE,4,1,0,2,70.9,273.0,1,0.05641748942172073
5997-OPVFA,72,1,2,2,89.05,6254.45,0,0.8085345311622684
3445-HXXGF,58,0,0,0,45.3,2651.2,1,1.2803532008830023
1159-WFSGR,16,1,0,0,20.4,321.4,0,0.7843137254901962
7654-YWJUF,43,1,1,2,84.25,3539.25,0,0.5103857566765578
1875-QIVME,2,1,0,0,104.4,242.8,1,0.019157088122605363
6727-IOTLZ,14,1,2,1,81.95,1181.75,0,0.1708358755338621
0691-JVSYA,53,1,1,2,94.85,5000.2,1,0.558777016341592
5918-VUKWP,32,1,1,2,20.55,654.55,0,1.557177615571776
1744-JHKYS,34,1,0,0,24.7,780.2,0,1.376518218623482
2656-FMOKZ,15,1,0,1,74.45,1145.7,1,0.20147750167897918
2070-FNEXE,7,1,0,2,76.45,503.6,1,0.09156311314584696
5947-SGKCL,15,1,0,2,105.35,1559.25,0,0.1423825344091125
3712-PKXZA,61,1,1,3,20.55,1252.0,0,2.9683698296836982
6317-YPKDH,1,0,0,2,29.95,29.95,1,0.0333889816360601
6582-OIVSP,1,1,0,1,45.3,45.3,0,0.02207505518763797
9367-WXLCH,8,1,0,2,84.5,662.65,1,0.09467455621301775
5524-KHNJP,33,1,1,3,74.75,2453.3,0,0.4414715719063545
1918-ZBFQJ,13,1,0,0,79.25,1111.65,1,0.1640378548895899
1024-GUALD,1,0,0,0,24.8,24.8,1,0.04032258064516129
4827-USJHP,20,1,0,1,51.8,1023.85,0,0.3861003861003861
8167-GJLRN,3,0,0,0,30.4,82.15,0,0.09868421052631579
0956-SYCWG,13,1,1,0,19.65,244.8,0,0.6615776081424937
8017-UVSZU,40,1,0,3,56.6,2379.1,0,0.7067137809187279
7100-FQPRV,43,1,1,3,71.9,3173.35,0,0.5980528511821974
2472-OVKUP,6,1,0,0,91.0,531.0,1,0.06593406593406594
2984-RGEYA,69,1,2,2,19.75,1375.4,0,3.4936708860759493
9680-NIAUV,72,1,2,3,109.7,8129.3,0,0.6563354603463992
2146-EGVDT,59,1,2,3,19.3,1192.7,0,3.0569948186528495
2604-IJPDU,20,1,0,0,96.55,1901.65,0,0.20714655618850336
9178-JHUVJ,24,1,2,2,24.1,587.4,0,0.9958506224066389
6168-YBYNP,59,1,0,0,111.35,6519.75,0,0.5298607992815447
7255-SSFBC,72,1,2,2,112.25,8041.65,0,0.6414253897550112
3645-DEYGF,1,1,0,1,20.75,20.75,0,0.04819277108433735
9323-HGFWY,27,1,1,3,101.9,2681.15,0,0.2649656526005888
8544-GOQSH,14,1,0,3,80.05,1112.3,0,0.1748906933166771
3363-DTIVD,71,1,2,0,105.55,7405.5,0,0.6726669824727617
7018-WBJNK,13,1,0,3,78.3,1033.95,0,0.16602809706257982
9142-KZXOP,44,1,0,3,68.85,2958.95,0,0.6390704429920117
7674-YTAFD,33,1,1,2,79.95,2684.85,0,0.41275797373358347
6348-SNFUS,72,0,2,3,55.45,4179.2,0,1.2984670874661857
1285-OKIPP,1,1,0,0,79.9,79.9,1,0.012515644555694618
7825-ECJRF,19,1,0,0,106.6,1934.45,1,0.17823639774859287
1347-KTTTA,64,1,1,3,102.45,6654.1,0,0.6246949731576379
7841-TZDMQ,2,1,0,3,46.0,84.5,1,0.043478260869565216
4195-NZGTA,1,0,0,0,25.25,25.25,0,0.039603960396039604
7157-SMCFK,61,1,2,1,19.75,1124.2,0,3.088607594936709
4709-LKHYG,29,1,1,0,20.0,540.05,0,1.45
2504-DSHIH,23,1,0,0,86.8,1975.85,0,0.26497695852534564
0699-NDKJM,57,0,0,2,58.75,3437.45,0,0.9702127659574468
9286-BHDQG,72,0,2,3,45.25,3139.8,0,1.591160220994475
0230-WEQUW,66,0,2,2,56.6,3789.2,0,1.1660777385159011
2040-LDIWQ,65,1,2,2,84.2,5324.5,0,0.7719714964370546
6496-JDSSB,8,1,0,2,80.0,624.6,0,0.1
9408-SSNVZ,4,1,0,0,70.15,268.35,1,0.05702066999287241
4443-EMBNA,71,1,2,2,24.75,1836.9,0,2.8686868686868685
6469-MRVET,1,1,1,0,20.2,20.2,0,0.04950495049504951
0742-MOABM,4,1,0,1,50.05,179.35,1,0.07992007992007992
5961-VUSRV,12,1,1,2,19.35,219.35,0,0.6201550387596899
6778-JFCMK,24,0,1,1,50.6,1288.75,0,0.4743083003952569
6341-JVQGF,31,1,1,1,81.15,2545.75,0,0.38200862600123225
2232-DMLXU,1,1,0,1,55.2,55.2,1,0.018115942028985508
4811-JBUVU,30,1,0,3,89.9,2723.15,0,0.3337041156840934
0945-TSONX,47,1,2,3,85.3,4107.25,0,0.5509964830011723
2651-ZCBXV,54,1,2,3,108.0,5760.65,0,0.5
3316-UWXUY,50,1,0,3,93.5,4747.5,0,0.5347593582887701
8937-RDTHP,1,1,0,1,84.6,84.6,1,0.011820330969267141
7083-MIOPC,72,1,2,3,20.25,1566.9,0,3.5555555555555554
1984-GPTEH,29,1,0,0,25.15,702.0,0,1.1530815109343937
1251-KRREG,2,1,0,1,54.4,114.1,1,0.03676470588235294
0621-JFHOL,10,0,2,1,29.6,299.05,0,0.33783783783783783
9903-LYSAB,18,1,0,0,73.15,1305.95,0,0.24606971975393027
0094-OIFMO,11,1,0,0,95.0,1120.3,1,0.11578947368421053
9227-UAQFT,16,1,2,1,19.75,284.35,0,0.810126582278481
7301-ABVAD,72,1,2,2,86.6,6350.5,0,0.8314087759815243
6614-FHDBO,72,1,2,2,109.2,7878.3,0,0.6593406593406593
7576-ASEJU,41,1,1,3,74.7,3187.65,0,0.5488621151271753
9058-HRZSV,65,1,0,0,94.4,6126.15,0,0.6885593220338982
4522-AKYLR,13,1,0,0,54.8,731.3,0,0.2372262773722628
0221-WMXNQ,4,1,0,0,75.35,273.4,0,0.05308560053085601
0303-UNCIP,41,1,1,1,65.0,2531.8,0,0.6307692307692307
9947-OTFQU,15,1,0,0,74.4,1074.3,1,0.20161290322580644
0322-YINQP,1,1,0,1,48.55,48.55,1,0.02059732234809475
0959-WHOKV,42,1,1,0,99.0,4298.45,0,0.42424242424242425
4075-JFPGR,51,1,1,0,93.5,4619.55,0,0.5454545454545454
4629-NRXKX,2,1,0,0,70.4,147.15,1,0.028409090909090908
9514-JDSKI,1,0,0,0,40.2,40.2,1,0.02487562189054726
3282-ZISZV,32,1,1,3,83.7,2633.3,0,0.38231780167264034
3675-YDUPJ,10,1,0,1,19.85,193.05,0,0.5037783375314862
4111-BNXIF,67,0,2,0,59.55,4103.9,0,1.125104953820319
7017-VFHAY,61,1,2,3,115.1,7008.15,0,0.5299739357080799
6655-LHBYW,50,1,1,3,114.35,5791.1,0,0.4372540445999126
4959-JOSRX,2,1,0,3,44.6,80.55,1,0.04484304932735426
5046-NUHWD,29,0,0,0,45.0,1228.65,0,0.6444444444444445
7273-TEFQD,3,0,0,0,41.15,132.2,1,0.07290400972053464
3606-TWKGI,13,1,0,0,106.9,1364.3,1,0.12160898035547239
7529-ZDFXI,57,1,0,0,89.85,4925.35,0,0.6343906510851419
7605-BDWDC,31,0,2,2,49.85,1520.1,0,0.6218655967903711
1950-KSVVJ,45,1,1,1,113.3,5032.25,0,0.3971756398940865
0123-CRBRT,61,1,2,1,88.1,5526.75,0,0.6923950056753689
6292-TOSSS,50,1,2,2,24.9,1195.25,0,2.0080321285140563
3197-ARFOY,19,1,0,1,105.0,2007.25,0,0.18095238095238095
6323-AYBRX,59,1,2,1,19.35,1099.6,1,3.049095607235142
7014-ZZXAW,71,1,2,3,24.25,1732.95,0,2.9278350515463916
4385-GZQXV,16,1,0,0,94.45,1511.2,1,0.16940179989412388
7633-MVPUY,57,1,2,0,59.75,3450.15,0,0.9539748953974896
6366-ZGQGL,1,0,0,2,24.8,24.8,1,0.04032258064516129
4716-HHKQH,20,1,0,0,107.05,2172.05,0,0.18682858477347034
5940-AHUHD,1,1,0,1,70.6,70.6,1,0.0141643059490085
6432-TWQLB,5,1,0,0,85.4,401.1,1,0.058548009367681494
4484-GLZOU,52,1,0,0,105.05,5624.85,1,0.49500237981913375
3179-GBRWV,21,1,0,2,64.95,1339.8,0,0.3233256351039261
8645-KWHJO,14,0,0,0,55.0,771.95,0,0.2545454545454545
4130-MZLCC,5,1,0,2,50.55,244.75,0,0.09891196834817013
0314-TKOSI,6,1,0,1,55.15,322.9,0,0.10879419764279238
8229-MYEJZ,10,1,0,0,51.2,498.25,0,0.1953125
2080-SRCDE,1,1,0,1,25.4,25.4,0,0.03937007874015748
9577-WJVCQ,68,1,0,1,54.45,3687.75,0,1.248852157943067
9512-UIBFX,18,1,0,1,95.15,1779.95,1,0.18917498686284812
6202-DYYFX,22,1,1,3,76.0,1783.6,0,0.2894736842105263
3808-HFKDE,20,1,0,0,44.35,927.15,0,0.4509582863585118
5583-SXDAG,1,1,0,0,70.0,70.0,1,0.014285714285714285
3488-PGMQJ,8,1,0,0,74.5,606.55,1,0.10738255033557047
3580-REOAC,10,1,0,3,44.85,435.4,1,0.2229654403567447
7534-BFESC,24,1,0,0,76.1,1712.7,1,0.31537450722733246
3727-OWVYD,35,1,1,1,61.2,2021.2,0,0.5718954248366013
2294-SALNE,23,1,1,1,86.8,1940.8,0,0.26497695852534564
4847-TAJYI,6,1,0,0,89.35,567.8,0,0.06715165081141579
1563-IWQEX,12,1,0,1,19.7,220.35,0,0.6091370558375635
8203-XJZRC,1,1,0,1,20.25,20.25,0,0.04938271604938271
6556-DBKZF,71,1,2,0,76.05,5436.45,0,0.9335963182117029
6851-WEFYX,35,1,0,0,100.8,3437.5,0,0.3472222222222222
2985-JUUBZ,40,1,0,0,74.55,3015.75,0,0.5365526492287056
6390-DSAZX,1,1,0,1,73.6,73.6,1,0.013586956521739132
0895-LMRSF,23,1,1,2,64.9,1509.8,0,0.35439137134052384
8098-LLAZX,4,1,0,0,95.45,396.1,1,0.041906757464641176
8266-VBFQL,4,1,0,0,90.4,356.65,0,0.04424778761061947
8181-YHCMF,68,0,2,3,60.3,4109.0,0,1.1276948590381426
2240-HSJQD,38,1,0,1,81.85,3141.7,0,0.46426389737324375
1248-DYXUB,52,1,2,1,24.8,1229.1,0,2.096774193548387
0265-EDXBD,32,1,0,0,74.9,2303.35,1,0.42723631508678234
4115-BNPJY,29,1,2,1,75.55,2054.4,0,0.3838517538054269
3167-SNQPL,38,1,0,0,101.15,3741.85,0,0.3756796836381611
4091-TVOCN,48,1,1,3,78.75,3682.45,0,0.6095238095238096
1098-TDVUQ,1,1,0,2,19.25,19.25,0,0.05194805194805195
7277-OZCGZ,22,1,0,0,89.05,1886.25,0,0.24705221785513756
1557-EMYVT,43,1,2,3,115.05,4895.1,0,0.3737505432420687
2799-ARNLO,5,1,0,0,69.35,341.6,0,0.07209805335255949
7563-BIUPC,5,1,0,0,80.6,415.55,1,0.062034739454094295
5027-YOCXN,51,1,1,3,110.05,5686.4,0,0.46342571558382556
3973-SKMLN,71,1,2,3,19.9,1355.1,0,3.5678391959798996
2321-OMBXY,38,1,1,3,80.3,3058.65,1,0.47322540473225405
2840-XANRC,24,1,0,0,93.15,2231.05,1,0.2576489533011272
6745-JEFZB,35,1,0,3,91.5,3236.35,0,0.3825136612021858
5020-ZSTTY,54,1,1,2,82.45,4350.1,1,0.6549423893268648
9880-TDQAC,72,0,2,0,60.0,4264.0,0,1.2
8705-WZCYL,1,1,0,0,44.8,44.8,0,0.022321428571428572
7102-JJVTX,9,1,1,1,48.6,422.3,0,0.18518518518518517
8626-PTQGE,69,0,2,2,60.05,4176.7,0,1.1490424646128228
4983-CLMLV,52,1,0,3,102.7,5138.1,0,0.5063291139240507
5701-YVSVF,11,1,0,0,82.9,880.05,0,0.13268998793727382
5804-LEPIM,2,1,0,0,70.35,139.05,1,0.028429282160625447
5697-GOMBF,28,0,0,0,35.9,973.65,0,0.7799442896935933
2739-CACDQ,17,1,0,3,82.65,1470.05,0,0.20568663036902599
9385-EHGDO,35,1,2,1,19.85,739.35,0,1.7632241813602014
9498-FIMXL,8,1,1,1,19.2,161.95,0,0.4166666666666667
2379-GYFLQ,46,1,1,3,94.9,4422.95,0,0.4847207586933614
0122-OAHPZ,7,1,0,0,73.85,511.25,1,0.09478672985781991
2868-SNELZ,2,1,0,1,80.6,155.8,1,0.02481389578163772
4322-RCYMT,68,1,1,2,75.8,5293.95,1,0.8970976253298153
6680-NENYN,43,1,2,0,104.6,4759.85,1,0.4110898661567878
2088-IEBAU,68,1,2,0,88.15,6148.45,0,0.7714123652864435
7982-VCELR,36,1,0,3,94.8,3565.65,0,0.379746835443038
1343-EHPYB,63,1,0,0,103.4,6603.0,1,0.609284332688588
6035-BXTTY,32,1,0,2,54.65,1830.1,0,0.585544373284538
6885-PKOAM,71,1,2,3,85.75,6223.8,0,0.8279883381924198
7520-HQWJU,66,1,0,2,67.45,4508.65,0,0.9785025945144551
9639-BUJXT,63,1,1,1,20.5,1328.15,0,3.073170731707317
5924-SNGKP,41,1,1,3,20.25,865.0,0,2.0246913580246915
0021-IKXGC,1,1,0,0,72.1,72.1,0,0.013869625520110958
2034-GDRCN,2,1,0,0,90.4,168.2,1,0.022123893805309734
8966-SNIZF,70,1,2,2,19.45,1303.5,0,3.5989717223650386
6243-OZGFH,23,0,0,0,44.95,996.85,0,0.5116796440489433
4654-DLAMQ,64,1,1,2,97.0,6430.9,0,0.6597938144329897
0513-RBGPE,37,1,2,3,62.8,2278.75,0,0.589171974522293
5160-UXJED,17,1,1,1,44.6,681.4,0,0.3811659192825112
4115-NZRKS,7,1,0,0,89.15,574.35,0,0.07851934941110487
0219-YTZUE,4,1,0,2,84.8,371.9,1,0.04716981132075472
0623-IIHUG,21,0,0,0,41.9,840.1,1,0.5011933174224343
4572-DVCGN,10,1,0,2,80.25,846.0,1,0.12461059190031153
3351-NGXYI,16,1,0,0,54.1,889.0,0,0.29574861367837335
8984-EYLLL,64,1,2,0,105.25,6823.4,0,0.6080760095011877
9057-MSWCO,27,0,0,3,30.75,805.1,1,0.8780487804878049
9833-TGFHX,42,1,1,0,97.1,4016.75,0,0.4325437693099897
9294-TDIPC,5,1,0,1,20.2,83.75,0,0.24752475247524752
5229-DTFYB,41,1,2,2,98.8,3959.15,0,0.4149797570850203
0104-PPXDV,58,1,1,3,50.3,2878.55,0,1.1530815109343937
5176-LMJXE,47,1,2,1,20.55,945.7,0,2.287104622871046
3583-KRKMD,18,1,0,2,75.9,1373.05,0,0.23715415019762845
1010-DIAUQ,5,1,0,2,96.5,492.55,1,0.05181347150259067
9069-LGEUL,23,1,0,2,59.95,1406.0,0,0.3836530442035029
7302-ZHMHP,1,1,0,1,19.15,19.15,0,0.05221932114882507
9571-EDEBV,71,1,1,3,98.65,6962.85,0,0.7197161682716675
3520-FJGCV,72,1,2,3,112.6,8126.65,0,0.6394316163410302
6563-VRERX,33,1,1,1,20.6,690.25,0,1.6019417475728155
0259-GBZSH,2,1,0,0,85.65,181.5,1,0.023350846468184472
6122-EFVKN,24,0,2,1,35.75,830.8,0,0.6713286713286714
2805-EDJPQ,56,1,1,3,99.75,5608.4,0,0.5614035087719298
6862-CQUMB,37,1,0,3,96.1,3646.8,0,0.3850156087408949
7156-MXBJE,43,1,1,3,85.1,3662.25,0,0.5052878965922445
6158-HDPXZ,1,0,0,1,25.35,25.35,0,0.03944773175542406
9601-BRXPO,25,1,0,2,104.95,2566.5,1,0.23820867079561694
2863-IMQDR,61,1,2,0,89.65,5308.7,0,0.6804238706079196
5686-CMAWK,17,1,1,0,86.75,1410.25,0,0.19596541786743515
